Date,Time,Max
01/29/2023,01:00:00,56
01/29/2023,03:00:00,56
01/29/2023,05:00:00,56
01/29/2023,07:00:00,56
01/29/2023,09:00:00,56
01/29/2023,11:00:00,56
01/30/2023,01:00:00,56
01/30/2023,03:00:00,57
01/30/2023,05:00:00,57
01/30/2023,07:00:00,57
01/30/2023,09:00:00,57
01/30/2023,11:00:00,57
01/30/2023,01:00:00,57
01/30/2023,03:00:00,59
01/30/2023,05:00:00,57
01/30/2023,07:00:00,57
01/30/2023,09:00:00,57
01/30/2023,11:00:00,56
01/31/2023,01:00:00,57
01/31/2023,03:00:00,56
01/31/2023,05:00:00,56
01/31/2023,07:00:00,56
01/31/2023,09:00:00,56
01/31/2023,11:00:00,59
01/31/2023,01:00:00,59
01/31/2023,03:00:00,59
01/31/2023,05:00:00,58
01/31/2023,07:00:00,58
01/31/2023,09:00:00,58
01/31/2023,11:00:00,58
02/01/2023,01:00:00,59
02/01/2023,03:00:00,57
02/01/2023,05:00:00,57
02/01/2023,07:00:00,58
02/01/2023,09:00:00,59
02/01/2023,11:00:00,58
02/01/2023,01:00:00,59
02/01/2023,03:00:00,57
02/01/2023,05:00:00,58
02/01/2023,07:00:00,57
02/01/2023,09:00:00,57
02/01/2023,11:00:00,58
02/02/2023,01:00:00,58
02/02/2023,03:00:00,57
02/02/2023,05:00:00,57
02/02/2023,07:00:00,58
02/02/2023,09:00:00,57
02/02/2023,11:00:00,58
02/02/2023,01:00:00,58
02/02/2023,03:00:00,58
02/02/2023,05:00:00,59
02/02/2023,07:00:00,58
02/02/2023,09:00:00,58
02/02/2023,11:00:00,57
02/03/2023,01:00:00,58
02/03/2023,03:00:00,62
02/03/2023,05:00:00,57
02/03/2023,07:00:00,58
02/03/2023,09:00:00,58
02/03/2023,11:00:00,59
02/03/2023,01:00:00,59
02/03/2023,03:00:00,59
02/03/2023,05:00:00,59
02/03/2023,07:00:00,58
02/03/2023,09:00:00,62
02/03/2023,11:00:00,57
02/04/2023,01:00:00,59
02/04/2023,03:00:00,58
02/04/2023,05:00:00,57
02/04/2023,07:00:00,58
02/04/2023,09:00:00,58
02/04/2023,11:00:00,58
02/04/2023,01:00:00,58
02/04/2023,03:00:00,57
02/04/2023,05:00:00,58
02/04/2023,07:00:00,58
02/04/2023,09:00:00,58
02/04/2023,11:00:00,58
02/05/2023,01:00:00,59
02/05/2023,03:00:00,57
02/05/2023,05:00:00,57
02/05/2023,07:00:00,57
02/05/2023,09:00:00,57
02/05/2023,11:00:00,58
02/05/2023,01:00:00,58
02/05/2023,03:00:00,57
02/05/2023,05:00:00,58
02/05/2023,07:00:00,57
02/05/2023,09:00:00,58
02/05/2023,11:00:00,58
02/06/2023,01:00:00,59
02/06/2023,03:00:00,58
02/06/2023,05:00:00,58
02/06/2023,07:00:00,58
02/06/2023,09:00:00,59
02/06/2023,11:00:00,62
02/06/2023,01:00:00,61
02/06/2023,03:00:00,62
02/06/2023,05:00:00,60
02/06/2023,07:00:00,60
02/06/2023,09:00:00,60
02/06/2023,11:00:00,60
02/07/2023,01:00:00,60
02/07/2023,03:00:00,59
02/07/2023,05:00:00,59
02/07/2023,07:00:00,62
02/07/2023,09:00:00,61
02/07/2023,11:00:00,61
02/07/2023,01:00:00,67
02/07/2023,03:00:00,60
02/07/2023,05:00:00,60
02/07/2023,07:00:00,60
02/07/2023,09:00:00,63
02/07/2023,11:00:00,61
02/08/2023,01:00:00,60
02/08/2023,03:00:00,59
02/08/2023,05:00:00,59
02/08/2023,07:00:00,60
02/08/2023,09:00:00,61
02/08/2023,11:00:00,64
02/08/2023,01:00:00,69
02/08/2023,03:00:00,62
02/08/2023,05:00:00,61
02/08/2023,07:00:00,60
02/08/2023,09:00:00,61
02/08/2023,11:00:00,60
02/09/2023,01:00:00,60
02/09/2023,03:00:00,59
02/09/2023,05:00:00,60
02/09/2023,07:00:00,61
02/09/2023,09:00:00,61
02/09/2023,11:00:00,62
02/09/2023,01:00:00,61
02/09/2023,03:00:00,61
02/09/2023,05:00:00,61
02/09/2023,07:00:00,61
02/09/2023,09:00:00,59
02/09/2023,11:00:00,59
02/10/2023,01:00:00,61
02/10/2023,03:00:00,71
